year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1951,2,14,0.29,0,45.63,-16.96,-3.5,22.83,-5.96,3.5,46.11
1955,3,26,11.68,11,43.51,-10.11,1,23.71,0.83,10,40.77
1956,2,3,0.31,-1,41.83,-18.07,-8,19.71,-3.85,7,44.36
1957,10,26,12.55,12,43.05,-3.31,9,21.69,0.67,3,36.55
1959,4,12,10.55,10,49.6,-6.34,10,24.86,-4.06,0,45.55
1970,9,26,13.53,13,49.38,0.56,13,29.18,-5,0,38.09
1970,9,27,9.84,9,51.45,0.69,8,27.75,-5,1,37.83
1971,5,12,21.63,21,46.6,1.65,15,26.6,3.21,6,36.77
1972,5,28,21.39,20,49.74,5.72,17,26.73,2.99,3,35.64
1975,9,23,16.02,27,46.26,4.2,4,27.4,-3.48,23,34.09
1979,6,10,22.94,22,50.29,7.51,16,29.94,2.34,6,33.3
1979,9,15,17.04,15,46.51,7.23,12,26.41,-1.3,3,31.32
1979,9,16,18.57,17,46.26,6.44,10,26.95,2.29,7,29.02
1981,7,30,24.07,24,46.18,11.56,17,27.58,3.63,7,27.41
1981,8,10,20.6,20,48.52,10.27,17,28.97,0.92,3,28.9
1981,8,12,20.93,20,46.93,10.76,18,27.82,0.78,2,28.32
1991,9,20,15.18,13,49.28,4.43,10,28.96,-2.87,3,34.13
1997,4,25,15.91,12,48.22,-3.25,10,26.15,1.93,2,39.15
1997,4,26,17.89,15,46.86,-2.12,6,24.2,3.84,9,38.88
1997,4,27,21.04,21,43.81,-2.4,7,24.92,6.44,14,35.97
2000,9,1,18.26,31.5,48.05,10.64,10,26.2,0.07,21.5,29.42
