year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1965, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, 25.87, 18.81, -99.9
1966, 17.48, 18.04, 25.84, 27.8, 32.68, 34.27, 34.81, 31.42, 28.92, 26.76, 22.7, 18.05, 26.61
1967, 19.15, 21.5, 28.19, 31.83, 33.58, 34.2, 34.06, 30.71, 28.5, 28.05, 24.8, 19.9, 27.9
1968, 18, 21.43, 22.11, 27.53, 33.85, 35.77, 31.47, 31.71, 28.47, 29.35, 24.32, 21.66, 27.15
1969, -99.9, 23.16, 24.28, 28.88, 32.52, 37.17, 36.29, 36.76, 34.4, 31.16, 22.5, 21.68, -99.9
1970, 20.48, 22.64, 26.94, 30.53, 35.35, 36.17, 36.52, 36.13, 32.9, 27.21, 25.22, 23.77, 29.53
1971, 22.19, 22.66, 27.26, 29.63, 32.77, 34.67, 33.84, 29.13, 27.57, 23.77, 21.63, 20.48, 27.16
1972, 21, 23.17, 28.87, 32.83, 33.19, 34.83, 33.55, 32.42, 31.08, 29.73, 23.17, 21.82, 28.82
1973, 18.69, 20.55, 25.45, 28.32, 32.5, 35.93, 33.97, 31.18, 32.58, 30.5, 28.04, 21.76, 28.32
1974, 23.63, 23.39, 29.15, 31.93, 35.31, 38, 34.74, 33.91, 29.28, 28.29, 23.9, 19.73, 29.3
1975, 20.56, 22.71, 28.47, 31.23, 33.89, 37.77, 32.97, 33.52, 31.43, 30.77, 26.52, 20.89, 29.25
1976, 20.05, 26.45, 25.94, 27.88, 29.06, 34.12, 30.81, 32.6, 27.42, 23.15, 16.8, 14.05, 25.68
1977, 15, 16.55, 24.81, 30.85, 35.66, 36.17, 34.4, 36.02, 35.2, 30.16, 26.33, 23.76, 28.81
1978, 20.76, 21.96, 26.94, 31.52, 34.1, 36.88, 34.95, 30.98, 27.68, 26.81, 25.83, 21.11, 28.32
1979, 19.08, 23.23, 26.15, 30.73, 31.57, 34.02, 35.97, 32.21, 29.1, 31.89, 23.58, 22.15, 28.33
1980, 22.87, 23.48, -99.9, 28.97, 33.35, 38.35, 36.26, 32.53, 30.33, 25.13, 21.37, 22.71, -99.9
1981, 18.06, 23.2, 24.26, 27.72, 31.81, 34.32, 34.05, 32.05, 30.62, 26.77, 26.63, 23.37, 27.75
1982, 21.52, 23.52, 29.11, 30.88, 32, 37.2, 34.02, 33.68, 32.55, 30.44, 22.07, 19.34, 28.88
1983, 19.26, 22.32, 24.82, 28.2, 33.16, 35.82, 35.19, 31.66, 32.78, -99.9, 24.75, 23.37, -99.9
1984, 20.84, 24.34, 28.44, 31.43, 33.69, 32.8, 31.85, 32.19, 31.35, 29.97, 26.02, 23.29, 28.86
1985, 17.98, 23.21, 26.79, 28.3, 33.89, 35.08, 33.21, 34.08, 31.25, 28.32, 23.28, 22.34, 28.17
1986, 19.82, 25.7, 27.95, 33.32, 35.4, 36.43, 34.6, 34.6, 33.02, 28.97, 25.02, 17.42, 29.35
1987, 21, 22.09, 25.42, 27.97, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1988, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1989, 21.08, 25.2, 28.11, 33.43, 36.34, 39.07, 37.27, 34.66, 34.05, 30.89, 24.5, 18.47, 30.27
1990, 21.9, 23.89, 27.5, 32.78, 36.26, 39.82, 33.4, -99.9, -99.9, -99.9, 25.62, 21.79, -99.9
1991, 20.95, 23.81, 28.15, 32.78, 36.94, 38.2, 33.21, 33.37, 30.55, 31.31, 24.47, 19.66, 29.5
1992, 16.22, 21.67, 26.81, 31.45, 32.97, 38.43, 37.19, 34.21, 34.45, 32.82, 23.8, 22.92, 29.48
1993, 22.26, 24.86, 28.13, 31.95, 35.18, 37.4, 35.13, 35.89, 31.4, 29.97, 25.18, 23.13, 30.07
1994, 21.66, 25.7, 27.32, 32.19, 35.92, 38.2, 37.55, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1995, -99.9, -99.9, -99.9, -99.9, -99.9, 37.15, 36.24, 35.56, 33.22, 32.02, 27, 22.94, -99.9
1996, 24.05, 27.47, 27.34, 31.65, 37.69, 37.15, 36.65, 33.02, 31.92, 30.53, 26.8, 23.23, 30.63
1997, 21.81, 24.05, 28.81, 28.37, 34.35, 37.53, 35.72, 35.26, 34.65, 30.5, 26.8, 18.76, 29.72
1998, 24.34, 23.54, 27.77, 31.82, 36.94, 39.3, 36.42, 34.19, 34.55, 31.4, 27.03, 23.4, 30.93
1999, 24.76, 27.7, 29.9, 32.98, 36.4, 36.72, 33.56, 34.48, 34.7, 30.82, 28.3, 20.85, 30.93
