year, month, day, prcp, tmax, tmin, tmax-tmin
1986, 1, 31, 0, 0, 0, 0
1987, 8, 3, 0, 15, 15, 0
1987, 8, 15, 3, 13, 13, 0
1987, 8, 23, 18, 15, 15, 0
1987, 8, 26, 4, 16, 16, 0
1988, 1, 11, 0, 10, 10, 0
1991, 2, 12, 0, 14, 14, 0
1991, 2, 13, 0, 13, 13, 0
1993, 10, 7, 0, 14, 14, 0
1993, 11, 9, 0, 14, 14, 0
1993, 11, 11, 0, 11, 11, 0
1993, 11, 26, 0, 11, 11, 0
1994, 2, 13, 0, 11, 11, 0
1994, 2, 14, 0, 10, 10, 0
1994, 2, 26, 0, 16, 16, 0
1994, 3, 17, 0, 13.5, 13.5, 0
1994, 11, 28, 0, 8.5, 8.5, 0
2002, 12, 2, 5.5, 4, 4, 0
