presa,anio.inicial,anio.final,duracion,sever,sever.rel,tipo.sequia
San Gabriel,1948,1948,1,-44.9,0.11,Ligera
San Gabriel,1950,1954,5,-142.8,0.35,Intensa
San Gabriel,1956,1957,2,-77.2,0.19,Ligera
San Gabriel,1959,1959,1,-2.3,0.01,Ligera
San Gabriel,1962,1965,4,-160.4,0.39,Intensa
San Gabriel,1969,1970,2,-78.2,0.19,Ligera
San Gabriel,1977,1977,1,-28.6,0.07,Ligera
San Gabriel,1979,1980,2,-124.5,0.3,Intensa
San Gabriel,1982,1983,2,-125.9,0.3,Intensa
San Gabriel,1985,1985,1,-51,0.12,Ligera
San Gabriel,1989,1989,1,-51.9,0.13,Ligera
San Gabriel,1992,1992,1,-60.1,0.15,Ligera
San Gabriel,1994,1995,2,-169.2,0.41,Intensa
San Gabriel,1997,2005,9,-413.2,1,Extraordinaria
San Gabriel,2007,2007,1,-11.7,0.03,Ligera
San Gabriel,2009,2009,1,-10.6,0.03,Ligera
San Gabriel,2011,2011,1,-59.7,0.14,Ligera
La Boquilla,1935,1935,1,-90.2,0.03,Ligera
La Boquilla,1937,1937,1,-133.7,0.05,Ligera
La Boquilla,1940,1940,1,-377.1,0.13,Ligera
La Boquilla,1945,1946,2,-267.3,0.09,Ligera
La Boquilla,1948,1948,1,-545.6,0.19,Ligera
La Boquilla,1950,1954,5,-2406,0.82,Intensa
La Boquilla,1956,1957,2,-1203.9,0.41,Intensa
La Boquilla,1959,1959,1,-234.9,0.08,Ligera
La Boquilla,1961,1965,5,-1429.2,0.49,Intensa
La Boquilla,1969,1969,1,-550.2,0.19,Ligera
La Boquilla,1977,1977,1,-330.2,0.11,Ligera
La Boquilla,1979,1979,1,-6.4,0,Ligera
La Boquilla,1982,1982,1,-514,0.18,Ligera
La Boquilla,1985,1985,1,-102.2,0.03,Ligera
La Boquilla,1994,1995,2,-1407.5,0.48,Ligera
La Boquilla,1997,2005,9,-2927.4,1,Extraordinaria
La Boquilla,2007,2007,1,-137.3,0.05,Ligera
La Boquilla,2009,2009,1,-90.6,0.03,Ligera
La Boquilla,2011,2012,2,-1077.7,0.37,Intensa
Fco I Madero,1950,1951,2,-315.9,0.36,Intensa
Fco I Madero,1953,1953,1,-114.5,0.13,Ligera
Fco I Madero,1956,1956,1,-205.8,0.23,Ligera
Fco I Madero,1961,1962,2,-155.4,0.18,Ligera
Fco I Madero,1964,1965,2,-226.4,0.26,Intensa
Fco I Madero,1969,1969,1,-109.5,0.12,Ligera
Fco I Madero,1977,1977,1,-133.5,0.15,Ligera
Fco I Madero,1982,1983,2,-294.2,0.34,Intensa
Fco I Madero,1985,1985,1,-110.9,0.13,Ligera
Fco I Madero,1987,1987,1,-12.8,0.01,Ligera
Fco I Madero,1989,1989,1,-39.2,0.04,Ligera
Fco I Madero,1992,1995,4,-623.9,0.71,Intensa
Fco I Madero,1997,2005,9,-877.8,1,Extraordinaria
Fco I Madero,2007,2007,1,-95.2,0.11,Ligera
Fco I Madero,2009,2009,1,-83.2,0.09,Ligera
Fco I Madero,2011,2012,2,-357.8,0.41,Intensa
Luis L Leon,1949,1957,9,-2005.8,0.47,Intensa
Luis L Leon,1959,1959,1,-32.4,0.01,Ligera
Luis L Leon,1962,1965,4,-239.9,0.06,Ligera
Luis L Leon,1967,1967,1,-31.8,0.01,Ligera
Luis L Leon,1983,1983,1,-49.7,0.01,Ligera
Luis L Leon,1994,2005,12,-4276.6,1,Extraordinaria
Luis L Leon,2007,2007,1,-263.8,0.06,Ligera
Luis L Leon,2009,2009,1,-130.1,0.03,Ligera
Luis L Leon,2011,2012,2,-600.1,0.14,Ligera
