"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18"
"Lon",-105.3125,-105.4375,-105.3125,-105.3125,-105.1875,-105.1875,-105.0625,-105.3125,-105.1875,-105.3125,-105.1875,-105.3125,-105.3125,-105.1875,-105.4375,-105.3125,-105.1875,-105.1875
"Lat",27.4375,27.5625,27.5625,27.6875,27.6875,27.8125,27.8125,27.9375,27.9375,28.0625,28.0625,28.1875,28.3125,28.3125,28.4375,28.4375,28.4375,28.5625
"(-3,-2]",1,1,1,1,-0.666666666666667,1,0.833333333333333,0.666666666666667,-0.666666666666667,0.499999999999999,-0.833333333333333,1,1,1,0.833333333333333,1,1,1
"(-2,-1.5]",0.250000000000001,0.583333333333332,0.416666666666668,0.75,0.75,0.5,-0.0833333333333334,0.416666666666668,0.583333333333332,0,0.0833333333333334,-0.166666666666667,0.250000000000001,-0.166666666666667,0.666666666666667,0.416666666666668,0.583333333333332,0.75
"(-1.5,-1]",0.266666666666666,0.3,0.0333333333333336,-0.0666666666666673,0.0666666666666673,-0.266666666666666,-0.400000000000001,-0.0333333333333336,0.0333333333333336,-0.133333333333332,-0.100000000000001,0.133333333333332,0.199999999999999,0.0666666666666673,0.499999999999999,0.499999999999999,0.366666666666668,0.333333333333333
"(-1,1]",-0.177083333333332,-0.218749999999999,-0.15625,-0.15625,-0.0833333333333324,-0.0833333333333324,-0.0260416666666665,-0.0885416666666671,-0.0625000000000005,-0.0312499999999995,0.00520833333333299,-0.046875,-0.0937500000000001,-0.0208333333333335,-0.145833333333333,-0.1875,-0.140625,-0.140625
"(1,1.5]",0.0666666666666673,0.199999999999999,0.100000000000001,0.166666666666668,-0.166666666666668,-0.0666666666666673,0.0666666666666673,0.3,0.133333333333332,0.366666666666668,0.100000000000001,0.199999999999999,-0.0333333333333336,0.0333333333333336,0.199999999999999,0.466666666666668,0.233333333333333,0.199999999999999
"(1.5,2]",0.75,0.833333333333333,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.5,-0.416666666666668,-0.166666666666667,-0.250000000000001,-0.166666666666667,-0.0833333333333334,0.333333333333332,-0.250000000000001,-0.5,-0.333333333333332,-0.333333333333332,-0.333333333333332
"(2,3]",1,0.666666666666667,0.833333333333333,1,1,1,0.833333333333333,0.833333333333333,1,-0.166666666666668,0.833333333333333,-0.666666666666667,0,0,0,0,0,0
